wordlist	docprops1	docprops2	relfreqs1	relfreqs2	devprops1	devprops2	meanrelfreqs	sd0	sd2	sr0	sr2	sg0	sg2	dd0	dd2	dr0	dr2	dg0	dg2
abad	0.001418313979257158	0.0	0.16988779748875188	0.0				0.001418313979257158	0.021991365986251492	-0.03980409280153874	0.041999256574701375			-0.05281570935360909	0.019085605418435875	-0.05322999281409372	0.014364097612389154		
abadía	2.9548207901190793e-05	0.0	0.003224550793239901	0.0				2.9548207901190793e-05	0.014721669061295123	-0.04013716366383895	0.010461674016028127			-0.06668656508226094	0.02195550625049028	-0.06672067605526552	0.014644100764947474		
abajo	0.012173861655290606	0.007720661486351863	1.3629899875398481	0.8510578633213913				0.004453200168938743	0.027123394067782355	-0.039120528781830796	0.012722181294905826			-0.06698168961462304	0.01635578308668484	-0.06698168977081491	0.013133295428751073		
abalanzar	0.0005023195343202435	0.0002490535963339311	0.054463090516071185	0.026374200024456024				0.00025326593798631245	0.015924678969101574	-0.04008747312181445	0.013998646537325016			-0.06698168957066396	0.021477685728973767	-0.06698168977043974	0.014588779717031092		
abanderado	2.9548207901190793e-05	4.981071926678621e-05	0.003224550793239901	0.005265458016577691				-2.026251136559542e-05	0.014443136042862606	-0.04014768650361773	0.005350825357212598			-0.06698168971286206	0.022065512603336335	-0.06698168977161556	0.014691034059163185		
abanderar	0.0	4.981071926678621e-05	0.0	0.005265458016577691				-4.981071926678621e-05	0.01427774059062531	-0.0401541306593301	0.001973980867038997			-0.06698168977211126	0.022130877259314702	-0.06698168977211127	0.014724047466242233		
abandonar	0.010400969181219159	0.015291890814903368	1.13900962990241	1.6376178115756093				-0.004890921633684209	0.002509450462619637	-0.041140059408684496	0.0027300518821066324			-0.06698168970417732	0.02797664163029312	-0.06698168977154828	0.014317500808713041		
abandono	0.0021865673846881185	0.002390914524805738	0.23469579333684948	0.2559597397840338				-0.00020434714011761945	0.013624083602421925	-0.04018610309742149	0.006078032463444457			-0.06698168968076874	0.02240677422128204	-0.06698168977136906	0.014705163057384781		
abanicar	2.9548207901190793e-05	4.981071926678621e-05	0.00310052960888452	0.0053707671769092444				-2.026251136559542e-05	0.014443136042862606	-0.04014814481255609	0.005153919909914812			-0.06698168971286206	0.022065512603336335	-0.06698168977164398	0.014692990169618437		
abanico	0.0017728924740714476	0.001145646543136083	0.19214337288368047	0.1224995995217827				0.0006272459309353646	0.01762545565157569	-0.04000442709370199	0.01218830869378281			-0.0669816896175481	0.020779935782690356	-0.06698168977084162	0.01457084303638947		
abar	2.9548207901190793e-05	0.0	0.003504946514391197	0.0				2.9548207901190793e-05	0.014721669061295123	-0.040136603302472665	0.01071517020394739			-0.06668656508226094	0.02195550625049028	-0.0666979792103928	0.014641850125360662		
abarcar	0.0009750908607392962	0.0004981071926678622	0.1058141277351415	0.05330670560489707				0.00047698366807143405	0.017047088652649568	-0.04003867351212101	0.014382402988107097			-0.06698168957658887	0.02102699664213771	-0.06698168977050449	0.014565966534146739		
abarrotar	5.9096415802381585e-05	0.0	0.006449101586479802	0.0				5.9096415802381585e-05	0.014886577955443545	-0.040130719508126585	0.013097953208969308			-0.06639144049228962	0.02189040420051279	-0.06645966233922923	0.014620694833827861		
abarrote	2.9548207901190793e-05	0.0	0.003224550793239901	0.0				2.9548207901190793e-05	0.014721669061295123	-0.04013716366383895	0.010461674016028127			-0.06668656508226094	0.02195550625049028	-0.06672067605526552	0.014644100764947474		
abastecer	8.864462370357238e-05	0.0	0.009547199407435786	0.0				8.864462370357238e-05	0.015051003145808326	-0.040124528064402934	0.015182866380119021			-0.0660963159023183	0.021825493105110907	-0.06620888445519436	0.014602184148690652		
abastecimiento	5.9096415802381585e-05	4.981071926678621e-05	0.006142558659110842	0.0053707671769092444				9.285696535595372e-06	0.014608044937011028	-0.04014206542037461	0.007676755647466679			-0.06698168965361286	0.022000340236212765	-0.0669816897711855	0.014668285288859944		
abasto	0.0	0.00019924287706714485	0.0	0.020687399496243014				-0.00019924287706714485	0.01345035018977272	-0.04018495088783771	-0.006462508599441117			-0.06698168977211127	0.02245927063931609	-0.06698168977211127	0.014833071103213427		
