wordlist	docprops1	docprops2	relfreqs1	relfreqs2	devprops1	devprops2	meanrelfreqs	sd0	sd2	sr0	sr2	sg0	sg2	dd0	dd2	dr0	dr2	dg0	dg2
abad	0.0	0.05660377358490566	0.0	0.02155011917848709				-0.05660377358490566	-0.3992125727169112	0.06960649792199666	-0.346948904233917			-0.6771744132535664	0.3535504623884006	-0.6771744132535664	0.019841545281417544		
abadía	0.0	0.009433962264150943	0.0	0.0004671203339349843				-0.009433962264150943	-0.20198353010776282	0.07434237321532389	-0.13866733054084263			-0.6771744132535664	0.35204366414785593	-0.6771744132535664	-0.02286357156048227		
abajo	0.5731707317073171	0.7075471698113207	0.08802731555412953	0.10929878915891553				-0.13437643810400357	-0.12879503281687815	0.06966909009390806	-0.16712144912084234			-0.6771744132211898	0.3533371406945159	-0.6771744132082168	-0.01195597757872402		
abalanzar	0.04878048780487805	0.10377358490566037	0.0031359532067422387	0.005606478784787884				-0.05499309710078232	-0.2013371706069006	0.07389234817533497	-0.16258108302852511			-0.6771744132347792	0.35242714433728545	-0.6771744132220707	-0.018703073842045115		
abanderado	0.0	0.009433962264150943	0.0	0.00046555281603587363				-0.009433962264150943	-0.20198353010776282	0.07434272532696345	-0.1386390583201489			-0.6771744132535664	0.35204366414785593	-0.6771744132535664	-0.02286796547937467		
abanderar	0.012195121951219513	0.0	0.0006017527855136443	0.0				0.012195121951219513	0.0320713390412774	0.07458247424817133	-0.11901820555488657			-0.6284339422175178	0.3510745681022233	-0.67378605466717	-0.02587033251569673		
abandonar	0.7804878048780488	0.7075471698113207	0.14818665180636945	0.10967387904461522				0.0729406350667281	-0.08009055806384582	0.08309842893631125	-0.0773801315981246			-0.677174413209479	0.3507383965224163	-0.6771744131774853	-0.04159601894781957		
abandono	0.3048780487804878	0.33962264150943394	0.026306361661834962	0.024141655263946356				-0.034744592728946144	-0.11235210856146872	0.07493356061174031	-0.11844423340064143			-0.677174413217688	0.35184797066661877	-0.6771744131922093	-0.026600622026701742		
abanicar	0.012195121951219513	0.0	0.0006064207832530836	0.0				0.012195121951219513	0.0320713390412774	0.07458352282078315	-0.11893510585025001			-0.6284339422175178	0.3510745681022233	-0.6737597700361062	-0.025882993050212327		
abanico	0.14634146341463417	0.1981132075471698	0.012315118130777746	0.013804514770104042				-0.05177174413253563	-0.14139362858104498	0.07411273922760929	-0.14224592109625728			-0.6771744132240436	0.35208229163934057	-0.6771744132033335	-0.02190034689585388		
