wordlist	docprops1	docprops2	relfreqs1	relfreqs2	devprops1	devprops2	meanrelfreqs	sd0	sd2	sr0	sr2	sg0	sg2	dd0	dd2	dr0	dr2	dg0	dg2
abajo	1	2	10.204081632653061	20.00800320128051				-1	-0.44035310106172343	-4.912743387353799	0.5727520062257174			-16.999999999978332	11.06978251471883	-16.999999999997776	11.536185516343755		
abandonar	3	2	29.41930618401207	19.607843137254903				1	2.830555956099478	-4.134520392715822	2.9375187976356507			-16.999999999935	11.164645509997682	-16.999999999993456	15.071662460592732		
abandono	1	3	10.0	29.615384615384617				-2	-1.649897971842524	-5.302004485402246	-0.3310873353389536			-16.999999999985555	11.069465755042584	-16.99999999999853	10.598781153887394		
abanico	0	1	0.0	10.0				-1	-12.202964393710886	-4.92052262528559	-13.10139907165392			-17.0	-17.0	-17.0	-15.652459470496911		
abarcar	1	0	10.0	0.0				1	15.444986564348241	-4.127040356242946	17.19783825819067			-12.666666666628148	11.0687870710093	-12.638916090832463	-0.964363279102967		
abismo	0	1	0.0	9.615384615384617				-1	-12.202964393710886	-4.905263350880924	-13.015482940639458			-17.0	-17.0	-17.0	-15.991419800819173		
abominable	0	1	0.0	9.803921568627452				-1	-12.202964393710886	-4.9127433873538	-13.05801939253458			-17.0	-17.0	-17.0	-15.822149350190223		
abrazar	1	1	10.204081632653061	9.803921568627452				0	1.6210110853186777	-4.507905494985104	2.1358562519620063			-16.999999999956668	11.129566256077359	-16.99999999999546	13.907970160630711		
abreviar	1	0	10.0	0.0				1	15.444986564348241	-4.127040356242946	17.19783825819067			-12.666666666628148	11.0687870710093	-12.638916090832463	-0.964363279102967		
abrir	3	1	29.41930618401207	10.0				2	4.891920142479879	-3.753337734058081	4.412964927182313			-16.99999999987	17.78534000080036	-16.99999999998717	18.32389134325673		
absoluto	1	3	10.638297872340425	29.223227752639517				-2	-1.649897971842524	-5.261122107335176	-0.16631695139679303			-16.999999999985555	11.069465755042584	-16.999999999998412	10.804542244932964		
absurdo	0	1	0.0	9.803921568627452				-1	-12.202964393710886	-4.9127433873538	-13.05801939253458			-17.0	-17.0	-17.0	-15.822149350190223		
abuelo	1	0	9.615384615384617	0.0				1	15.444986564348241	-4.142299630647612	17.111922127176207			-12.666666666628148	11.0687870710093	-12.80665008733874	-0.8809921749372398		
abundancia	1	0	10.0	0.0				1	15.444986564348241	-4.127040356242946	17.19783825819067			-12.666666666628148	11.0687870710093	-12.638916090832463	-0.964363279102967		
