wordlist	docprops1	docprops2	relfreqs1	relfreqs2	devprops1	devprops2	meanrelfreqs	sd0	sd2	sr0	sr2	sg0	sg2	dd0	dd2	dr0	dr2	dg0	dg2
abad	0.0	0.001354346220142822	0.0	0.14482093897885948				-0.001354346220142822	-0.009458716363043906	-0.01599993517856352	-0.03045460865249272			-0.06235907177448674	-0.06165780909832596	-0.06235907177448674	0.06717774585954425		
abadía	0.0	0.00012312238364934746	0.0	0.013335514463830668				-0.00012312238364934746	-0.00032042354072245457	-0.015387909922703308	-0.004108796363443159			-0.062359071774486734	-0.0617241090174631	-0.06235907177448674	0.06700827324827709		
abajo	0.006857142857142857	0.011204136912090618	0.7904283973242539	1.2435278607546687				-0.0043469940549477615	-0.017611980132795368	-0.017434879344425086	0.0014438698921457969			-0.0623590716983128	-0.06157739048902845	-0.06235907177397781	0.06670689564252615		
abalanzar	0.00038095238095238096	0.0009849790691947797	0.04109286261454912	0.10590973063242895				-0.0006040266882423987	-0.0038489698631227233	-0.01562754019881308	-0.003715836116544859			-0.06235907172634904	-0.0616986395035394	-0.06235907177417608	0.06702935390030192		
abandonar	0.01219047619047619	0.012435360748584092	1.3639039519174228	1.343728131355228				-0.00024488455810790094	-0.00021995218417399456	-0.015231924698719975	0.007895144573672333			-0.062359071652474354	-0.061723525815069874	-0.06235907177367405	0.06698418985412759		
abandono	0.0015238095238095239	0.0025855700566362965	0.16519330771048746	0.27474255328975206				-0.0010617605328267726	-0.006363225517690554	-0.015835756013784365	0.000926984224001233			-0.062359071701134056	-0.061679012998019075	-0.06235907177400533	0.06703024196672248		
abanicar	0.00038095238095238096	0.00012312238364934746	0.04191471986684011	0.012822610061375644				0.0002578299973030335	0.002656252219740437	-0.015190422043763628	0.019131548005742634			-0.06235907138938517	-0.06174510967368708	-0.06235907177186951	0.06694788981598385		
abanico	0.001142857142857143	0.0020930805220389067	0.12413205499025724	0.22442148064862627				-0.0009502233791817637	-0.005861569444890902	-0.015792654326451275	-8.380922269237909e-05			-0.06235907170652764	-0.0616831646142065	-0.06235907177404387	0.06702999865779721		
abarcar	0.0007619047619047619	0.0014774686037921695	0.07984480381019976	0.1584868910973349				-0.0007155638418874076	-0.004471344342102531	-0.01569189245224192	-0.0010650566288425058			-0.062359071710303145	-0.06169380767501779	-0.06235907177408337	0.06702566376028844		
abastecimiento	0.00038095238095238096	0.0	0.04191471986684011	0.0				0.00038095238095238096	0.003630527747333002	-0.015130736635798793	0.030620089847427163			-0.05761760911660026	-0.061751927451993226	-0.05900309237739552	0.06692877310800303		
abasto	0.00038095238095238096	0.0	0.03880992580262972	0.0				0.00038095238095238096	0.003630527747333002	-0.015145188521918873	0.029761495725699996			-0.05761760911660026	-0.061751927451993226	-0.05925168344378741	0.06693059871670323		
abatimiento	0.0007619047619047619	0.0007387343018960847	0.08145690842046284	0.07848386126341869				2.3170460008677183e-05	0.00082545234248896	-0.015311998454679055	0.008149286857494047			-0.06235907164611954	-0.06173220901586326	-0.06235907177365574	0.06697567264785774		
abatir	0.001142857142857143	0.0012312238364934746	0.12577770479449135	0.13136524443762398				-8.836669363633163e-05	2.4953737030331707e-05	-0.015351845421337272	0.0071277003117523885			-0.06235907165895627	-0.06172644300920643	-0.062359071773720125	0.0669803407667793		
abdomen	0.00038095238095238096	0.0	0.04277012231310214	0.0				0.00038095238095238096	0.003630527747333002	-0.015126754993704484	0.03084762557829229			-0.05761760911660026	-0.061751927451993226	-0.05893460300196102	0.0669282893040736		
abdul	0.0	0.0002462447672986949	0.0	0.026148067576138564				-0.0002462447672986949	-0.0012829207873165176	-0.015447548518583466	-0.010202022259277788			-0.062359071774486734	-0.061717282471600715	-0.06235907177448674	0.06703029601573661		
abecedario	0.0	0.00012312238364934746	0.0	0.012580674022481763				-0.00012312238364934746	-0.00032042354072245457	-0.015384396366611793	-0.003650990118695928			-0.062359071774486734	-0.0617241090174631	-0.06235907177448674	0.06700682398690523		
abeja	0.0	0.0007387343018960847	0.0	0.07951085506117231				-0.0007387343018960847	-0.005020607926495317	-0.01569593630593254	-0.02282623529079173			-0.06235907177448674	-0.061690427615170476	-0.06235907177448674	0.06710134071339198		
aberración	0.0	0.0006156119182467373	0.0	0.06589313029186919				-0.0006156119182467373	-0.004102507317074048	-0.01563254987723212	-0.020528521227793445			-0.06235907177448674	-0.06169707545790696	-0.06235907177448674	0.06708469035962174		
abertura	0.0	0.00036936715094804237	0.0	0.040006543391492004				-0.00036936715094804237	-0.0022339211362434204	-0.015512055571270167	-0.014720359134629026			-0.06235907177448674	-0.06171050198706075	-0.06235907177448674	0.06705078169706825		
abierto	0.012952380952380953	0.008249199704506278	1.4115557818172735	0.897209534369532				0.004703181247874675	0.018910020575282713	-0.012931709423386489	0.01394232452397557			-0.06235907157906206	-0.061878739142151966	-0.06235907177322707	0.06634876836050747		
