wordlist	docprops1	docprops2	relfreqs1	relfreqs2	devprops1	devprops2	meanrelfreqs	sd0	sd2	sr0	sr2	sg0	sg2	dd0	dd2	dr0	dr2	dg0	dg2
abad	0.02186421173762946	0.0	0.16763522993547122	0.0				0.02186421173762946	0.1444593513163947	-0.16947739310038853	0.19437881957934725			-0.16951940934262905	-0.07519102478577085	-0.24295005052758042	0.22797101761644484		
abadía	0.0011507479861910242	0.0	0.003175801669284352	0.0				0.0011507479861910242	0.02203184554666005	-0.1711215049260341	0.049428302990648265			-0.29890014424393996	-0.06736646613581934	-0.3048918331471698	0.2280878678508613		
abajo	0.3291139240506329	0.21032504780114722	1.3642892252447882	0.8417784287021944				0.11878887624948567	0.05961333129718846	-0.16592967849477117	0.0607156847608543			-0.3060879628142905	-0.07633835633386865	-0.3060879629059262	0.22748344291819902		
abalanzar	0.019562715765247412	0.009560229445506692	0.05815090653476378	0.02611721049283025				0.01000248631974072	0.05748927298316322	-0.17083301063962256	0.06944104626349903			-0.3060879627842167	-0.07015748124353235	-0.3060879629036445	0.228060705854977		
abanderado	0.0011507479861910242	0.0019120458891013384	0.0031679016651319034	0.005182520766542316				-0.0007612979029103142	0.0016308871861306874	-0.17117339390715935	0.026127928863842693			-0.3060879628744382	-0.06604316737012389	-0.30608796290972823	0.22810728883156092		
abanderar	0.0	0.0019120458891013384	0.0	0.005236855732142612				-0.0019120458891013384	-0.01106937868544667	-0.17120560682073607	0.01059454186289253			-0.3060879629120305	-0.06519941402067647	-0.3060879629120305	0.22812107727373618		
abandonar	0.2899884925201381	0.4130019120458891	1.131827171743373	1.6169304472865016				-0.12301341952575101	-0.03073604434362453	-0.17600286328610862	0.014331588695459922			-0.3060879628681728	-0.05284814458928221	-0.3060879629093941	0.2279497680403084		
abandono	0.07479861910241657	0.0841300191204589	0.23375737182796563	0.25472382276358724				-0.009331400018042321	-0.0028412176756271237	-0.17136285662854156	0.02946278444829844			-0.3060879628564964	-0.06503863136005766	-0.30608796290857415	0.2281130990646257		
abanicar	0.0011507479861910242	0.0019120458891013384	0.0031015500959157946	0.005192783183901806				-0.0007612979029103142	0.0016308871861306874	-0.17117415982227085	0.025808794642340663			-0.3060879628744382	-0.06604316737012389	-0.3060879629097809	0.2281075729314699		
abanico	0.05178365937859609	0.03441682600382409	0.189583767871758	0.12028991151469212				0.017366833374771996	0.047812038764281084	-0.17046051834261416	0.057824111512478044			-0.3060879628180498	-0.07019165052116481	-0.30608796290609447	0.22805696871862818		
abar	0.0011507479861910242	0.0	0.003155343085686386	0.0				0.0011507479861910242	0.02203184554666005	-0.17112170945185293	0.04934171516283273			-0.29890014424393996	-0.06736646613581934	-0.3048995386411709	0.22808793765266824		
