wordlist	docprops1	docprops2	relfreqs1	relfreqs2	devprops1	devprops2	meanrelfreqs	sd0	sd2	sr0	sr2	sg0	sg2	dd0	dd2	dr0	dr2	dg0	dg2
abad	0.09090909090909091	0.0	0.1578108533218351	0.0				0.09090909090909091	0.4781069090621674	0.0514653650706514	0.5103314387070589			-0.33422459891459894	0.21570325031190166	-0.37760519883921684	-0.48972997887397696		
abadía	0.022727272727272728	0.0	0.004183339595374736	0.0				0.022727272727272728	0.30170483443081064	0.04692689070864928	0.21496969157198453			-0.45855614971497327	0.23519677611184836	-0.4967554891924244	-0.48972523534303425		
abajo	0.9545454545454546	0.7647058823529411	1.3362161272762971	0.8758830703992456				0.18983957219251346	0.15029976554765928	0.06040249639216973	0.2232163471813015			-0.49999999997723776	0.1872715145556443	-0.499999999988168	-0.4897550982180386		
abalanzar	0.29545454545454547	0.11764705882352941	0.07597344213538519	0.031922940436560555				0.17780748663101606	0.25265555511089144	0.04810464909777776	0.2590476503045121			-0.4999999999542045	0.2219293169849586	-0.499999999981542	-0.4897265662796907		
abanderado	0.022727272727272728	0.029411764705882353	0.003687599541417094	0.003769998605063442				-0.006684491978609625	0.08684749022514182	0.04680087196975698	0.17247417476607665			-0.4999999999859091	0.26030447562348435	-0.49999999999241374	-0.48972455200175724		
abanderar	0.0	0.029411764705882353	0.0	0.00725194596391409				-0.029411764705882353	-0.09889352432167656	0.04658906873214178	0.10800041738139084			-0.5	0.28953534286958704	-0.5	-0.48972337677291294		
abandonar	1.0	0.8823529411764706	1.227643064159655	1.5529460979885739				0.11764705882352944	0.13536532887087271	0.03719318206400007	0.145294794228325			-0.4999999999793333	0.16903235936254024	-0.49999999999386885	-0.48972918453988906		
abandono	0.6818181818181818	0.47058823529411764	0.23065406396967555	0.2542624521652062				0.21122994652406413	0.17303736230501415	0.046105865613630496	0.1620046104529398			-0.4999999999735795	0.21608404267501788	-0.49999999999296435	-0.48972394266910413		
abanicar	0.022727272727272728	0.029411764705882353	0.0024718583494343954	0.005084416875735599				-0.006684491978609625	0.08684749022514182	0.046726125828427875	0.15045619416997907			-0.4999999999859091	0.26030447562348435	-0.4999999999962294	-0.48972416346368586		
abanico	0.45454545454545453	0.35294117647058826	0.18563348935938448	0.16376772369270448				0.10160427807486627	0.1546306797625966	0.04744926613109807	0.1873602419478724			-0.4999999999765152	0.23630713696501368	-0.4999999999912087	-0.48972516317219983		
abar	0.022727272727272728	0.0	0.0025151545278516555	0.0				0.022727272727272728	0.30170483443081064	0.046877609072981406	0.20001161994726097			-0.45855614971497327	0.23519677611184836	-0.4980492986822542	-0.4897249951153261		
abarcar	0.38636363636363635	0.17647058823529413	0.11243737679210013	0.06923544470567669				0.20989304812834222	0.234095401126603	0.04807958059711118	0.2252136446701251			-0.49999999996007577	0.21992725076311065	-0.4999999999874047	-0.4897260819429467		
abarrotar	0.045454545454545456	0.0	0.005012149114144578	0.0				0.045454545454545456	0.38432079577351486	0.04695137545529836	0.22175872122169454			-0.41711229944818184	0.22606719882492043	-0.4961126818435743	-0.48972534437533966		
abarrote	0.022727272727272728	0.0	0.0025034711652494584	0.0				0.022727272727272728	0.30170483443081064	0.04687726392229618	0.19989997053116215			-0.45855614971497327	0.23519677611184836	-0.498058360054222	-0.4897249933222284		
