wordlist	docprops1	docprops2	relfreqs1	relfreqs2	devprops1	devprops2	meanrelfreqs	sd0	sd2	sr0	sr2	sg0	sg2	dd0	dd2	dr0	dr2	dg0	dg2
abad	0.018166089965397925	0.0	0.33640536239885	0.0				0.018166089965397925	0.12414474126607647	-0.1561414399351009	0.18420209130420956			-0.1565739845518509	0.16699031690048421	-0.212101626646127	0.03810866547364272		
abadía	0.0008650519031141869	0.0	0.0063630429779767605	0.0				0.0008650519031141869	0.022564492520915413	-0.15750505044830596	0.05086935163037151			-0.2625274125372809	0.1687307636177488	-0.26677108547640127	0.03876727607033524		
abajo	0.2664359861591695	0.17101449275362318	2.726837608482943	1.8277230258701032				0.09542149340554634	0.05886802590257968	-0.153816537450148	0.046756376516997045			-0.2678250839023815	0.16679797437635557	-0.2678250839953222	0.03952381773925418		
abalanzar	0.014705882352941176	0.007246376811594203	0.10764212386785985	0.05277813883941286				0.007459505541346973	0.052047125950115125	-0.15730466282954111	0.056792177290623316			-0.2678250838735101	0.16813745938907043	-0.2678250839944151	0.03864809611523385		
abanderado	0.0008650519031141869	0.0014492753623188406	0.006474977428198274	0.010493982242473558				-0.0005842234592046537	0.008131909514813582	-0.1575479451581206	0.01982568233408903			-0.26782508396123955	0.16898094487463658	-0.2678250839967714	0.038929312184616024		
abanderar	0.0	0.0014492753623188406	0.0	0.010549875623259037				-0.0014492753623188406	-0.0007154826420860318	-0.1575749282556553	-0.0021001754824418115			-0.2678250839977935	0.16913712347592216	-0.2678250839977935	0.03905773630177343		
abandonar	0.2301038062283737	0.3492753623188406	2.2594593920431785	3.292223987193157				-0.1191715560904669	-0.029260063915844715	-0.1617983343350498	0.012978358754437258			-0.26782508395744764	0.1721950099305427	-0.26782508399665667	0.03856157612425486		
abandono	0.05968858131487889	0.06521739130434782	0.46616214814385615	0.5094426573211885				-0.005528809989468933	0.005575686787833682	-0.15771015890152068	0.025560277634903615			-0.2678250839417441	0.16913063012246732	-0.26782508399627775	0.03900549259499945		
abanicar	0.0008650519031141869	0.0014492753623188406	0.006182181291264243	0.01045244933122366				-0.0005842234592046537	0.008131909514813582	-0.1575489832831002	0.019131045735250506			-0.26782508396123955	0.16898094487463658	-0.26782508399681376	0.03893334550397407		
abanico	0.03806228373702422	0.02753623188405797	0.38046829500425877	0.24136691669538166				0.010526051852966251	0.04007716024049393	-0.1569566256587815	0.04859775045129413			-0.26782508391314225	0.16824870788909524	-0.2678250839951824	0.0385566075478425		
abar	0.0008650519031141869	0.0	0.006283661614495763	0.0				0.0008650519031141869	0.022564492520915413	-0.1575053784221912	0.05065693956243547			-0.2625274125372809	0.1687307636177488	-0.26678423450586614	0.038768325301297944		
abarcar	0.025951557093425604	0.014492753623188406	0.208113460158114	0.10506432625758381				0.011458803470237198	0.0546443899126204	-0.15710557994920743	0.05729377381403078			-0.2678250838881317	0.1680117715770194	-0.2678250839945124	0.038579652788678045		
abarrotar	0.0017301038062283738	0.0	0.012576970250226548	0.0				0.0017301038062283738	0.030733752373196175	-0.15747937684204963	0.06492972744966038			-0.2572297411380094	0.16859079387296058	-0.26574178704648876	0.03869782341729057		
abarrote	0.0008650519031141869	0.0	0.0063002084521902885	0.0				0.0008650519031141869	0.022564492520915413	-0.15750531005689222	0.05070130160206459			-0.2625274125372809	0.1687307636177488	-0.26678149362504905	0.038768106170501845		
abastecer	0.0025951557093425604	0.0	0.01885220402291634	0.0				0.0025951557093425604	0.03832147458269711	-0.15745344994043206	0.07564217719768702			-0.2519320697387379	0.16846078802660583	-0.2647023335758297	0.038644908184783944		
abastecimiento	0.0017301038062283738	0.0014492753623188406	0.012555121288057641	0.010563942124090047				0.00028082844390953316	0.016301169367094342	-0.1575231133423904	0.033397141961589466			-0.2678250839246856	0.16883673700471946	-0.26782508399582483	0.03884988059981625		
abasto	0.0	0.005797101449275362	0.0	0.04189472695052211				-0.005797101449275362	-0.03504238253138789	-0.15770443337148318	-0.04256242289638357			-0.2678250839977935	0.16980987582877155	-0.2678250839977935	0.03942652383177016		
abate	0.0008650519031141869	0.002898550724637681	0.012380357876943143	0.020730032133756054				-0.002033498821523494	-0.004578161693124791	-0.157565837852583	0.015511623873611264			-0.2678250839795165	0.16921415703586853	-0.2678250839968042	0.038963981331793365		
abatimiento	0.01730103806228374	0.010144927536231883	0.13221802410942912	0.07323688622037142				0.007156110526051855	0.04613220585628613	-0.1572876523051482	0.05275759880193939			-0.2678250838933537	0.1682273459779734	-0.26782508399480304	0.03865943463034235		
abatir	0.028546712802768166	0.036231884057971016	0.21444731882533594	0.2721535930670577				-0.0076851712552028495	-0.0056696374109259096	-0.15776976072754514	0.019366096719534216			-0.2678250839495423	0.16937995864982647	-0.26782508399648824	0.039053197700520244		
abdicar	0.004325259515570935	0.0014492753623188406	0.03203178531247497	0.010418088879773224				0.002875984153252094	0.03761454294401323	-0.15744204049424732	0.06089642542061791			-0.2678250838150238	0.1684605026505856	-0.26782508399270055	0.038689170337650264		
abdomen	0.0034602076124567475	0.002898550724637681	0.0253310005993242	0.02096028514277261				0.0005616568878190663	0.01826232597071676	-0.15751328199497164	0.035128237293784934			-0.2678250839246856	0.16879991960812768	-0.26782508399579164	0.03883576513903039		
abdul	0.004325259515570935	0.0	0.05015028716252514	0.0				0.004325259515570935	0.05204712595011506	-0.15732413805313464	0.10773112117464287			-0.2413367269401949	0.1682256166703644	-0.2595180006373455	0.038486401589992635		
abecedario	0.0025951557093425604	0.0	0.018994661759896028	0.0				0.0025951557093425604	0.03832147458269711	-0.15745286135873693	0.07585730979083366			-0.2519320697387379	0.16846078802660583	-0.26467873633714667	0.038643845515510915		
abedul	0.0008650519031141869	0.0	0.0062183343982307	0.0				0.0008650519031141869	0.022564492520915413	-0.15750564832963534	0.05048135601024808			-0.2625274125372809	0.1687307636177488	-0.2667950555531984	0.03876919261407018		
