wordlist	docprops1	docprops2	relfreqs1	relfreqs2	devprops1	devprops2	meanrelfreqs	sd0	sd2	sr0	sr2	sg0	sg2	dd0	dd2	dr0	dr2	dg0	dg2
abad	0.03125	0.0	0.16616006138938744	0.0				0.03125	0.32932765612691867	-0.16244780330172384	0.3939384823514102			-0.1997404601154414	0.38484063490495424	-0.26137201303450636	0.42303946278166965		
abadía	0.002840909090909091	0.0	0.003129633354287351	0.0				0.002840909090909091	0.14114573339792846	-0.16488953492131042	0.17617371030833223			-0.3418496836564797	0.39042436052353013	-0.35427714150566936	0.42351144836764976		
abajo	0.5596590909090909	0.4212962962962963	1.372197546893991	0.8668345369356543				0.13836279461279466	0.14569167530735597	-0.1573675089360642	0.1915068549323963			-0.3560606059941551	0.384330518918028	-0.35606060605158507	0.42066237940057605		
abalanzar	0.048295454545454544	0.023148148148148147	0.060867032753458644	0.02531920216066353				0.025147306397306397	0.19185684648685786	-0.16440400263018368	0.2117414040308877			-0.356060605956241	0.3879694953613141	-0.3560606060469066	0.42338658277499486		
abanderado	0.002840909090909091	0.004629629629629629	0.0031184914633899676	0.0050176608666293995				-0.0017887205387205384	0.07979569970562704	-0.16496485206823636	0.14199831694626014			-0.3560606060299104	0.3923009293039957	-0.3560606060570643	0.42358790081806424		
abanderar	0.0	0.004629629629629629	0.0	0.0050176608666293995				-0.004629629629629629	0.03947481425856499	-0.16501155819115676	0.11923340810726482			-0.356060606060606	0.39360507280654755	-0.356060606060606	0.4236420205476204		
abandonar	0.5198863636363636	0.6712962962962963	1.2000698558934406	1.6234696465018998				-0.15140993265993263	0.06029696150851197	-0.17127773124592327	0.12817486016413268			-0.35606060602186607	0.40605149302345667	-0.35606060605639356	0.4230491167711231		
abandono	0.17045454545454544	0.18055555555555555	0.23390093450793106	0.2525556783221492				-0.01010101010101011	0.09204235389156311	-0.1652158028651932	0.14715645012268588			-0.356060606013382	0.3923446533590862	-0.3560606060553283	0.4236070785096485		
abanicar	0.002840909090909091	0.004629629629629629	0.003058008696450674	0.005052561131003808				-0.0017887205387205384	0.07979569970562704	-0.16496628063446378	0.14141607162248115			-0.3560606060299104	0.3923009293039957	-0.356060606057157	0.4235893006859453		
abanico	0.11363636363636363	0.0787037037037037	0.1879280500960058	0.12269728479387867				0.034932659932659926	0.15436700552416116	-0.16395943678370073	0.18687076096181754			-0.3560606059883811	0.3886005840793053	-0.3560606060518778	0.4233952225310107		
abar	0.002840909090909091	0.0	0.0031068163229358964	0.0				0.002840909090909091	0.14114573339792846	-0.16488987665547372	0.1760278356268061			-0.3418496836564797	0.39042436052353013	-0.35429014410435344	0.423511764537921		
abarcar	0.07386363636363637	0.041666666666666664	0.10336069354347269	0.05052253224844672				0.0321969696969697	0.17893131792721712	-0.1641450427065818	0.2059696513454031			-0.35606060597192984	0.38801866102850924	-0.35606060604894757	0.4233736406638947		
abarrotar	0.005681818181818182	0.0	0.0062310860404874635	0.0				0.005681818181818182	0.1733742330609629	-0.16484308399075828	0.1939584451916304			-0.3276387613023759	0.38946807791887256	-0.35250973609717334	0.4234729015520347		
abarrote	0.002840909090909091	0.0	0.003111107505702383	0.0				0.002840909090909091	0.14114573339792846	-0.16488981238577405	0.17605528955267505			-0.3418496836564797	0.39042436052353013	-0.354287698714919	0.4235117050340023		
abastecer	0.008522727272727272	0.0	0.009339452620353765	0.0				0.008522727272727272	0.2002219034208661	-0.16479652950976476	0.20865368479428892			-0.3134278389482721	0.3886714550413204	-0.35073839071141644	0.42344105093997336		
abastecimiento	0.005681818181818182	0.004629629629629629	0.006198990302309488	0.005059599524619136				0.0010521885521885526	0.11202419936866145	-0.16491934308834094	0.15945436135864283			-0.35606060599921485	0.39125852688731955	-0.3560606060536241	0.42354639235273417		
abasto	0.0	0.018518518518518517	0.0	0.020272377205481737				-0.018518518518518517	-0.06816075649389586	-0.16524003040754803	0.06044127960411742			-0.356060606060606	0.3981120809326497	-0.356060606060606	0.4238260529985326		
abate	0.002840909090909091	0.009259259259259259	0.006171073518160343	0.010010689713981493				-0.006418350168350168	0.03546095638645003	-0.1649939144362046	0.1354701697536467			-0.35606060604525824	0.39388206262185943	-0.3560606060570931	0.4236065374935996		
abatimiento	0.05397727272727273	0.027777777777777776	0.06535327098830647	0.038032412641104935				0.02619949494949495	0.18577279437945465	-0.16452721924997443	0.19110426024047367			-0.35606060596340333	0.3880775548405136	-0.35606060605081374	0.423436775243426		
abatir	0.09090909090909091	0.10648148148148148	0.10631088207538184	0.1434709520549808				-0.015572390572390571	0.0776834001280169	-0.16549295996140745	0.13008567209631983			-0.35606060601789913	0.3930915114626146	-0.3560606060563834	0.4236847718103619		
abdicar	0.014204545454545454	0.004629629629629629	0.017012129174106185	0.005009751253440624				0.009574915824915825	0.182013183846309	-0.16475664647084537	0.20261719465422814			-0.35606060590712807	0.3889947948699123	-0.35606060604125456	0.4234438043632499		
abdomen	0.011363636363636364	0.009259259259259259	0.012499521286121461	0.010067337808286688				0.002104377104377105	0.1175462649185421	-0.16489998073462844	0.16293213155979028			-0.35606060599921485	0.39104227270396547	-0.3560606060535306	0.423536442661054		
abdul	0.005681818181818182	0.0	0.024779012223109232	0.0				0.005681818181818182	0.1733742330609629	-0.1645652888675797	0.257872978078466			-0.3276387613023759	0.38946807791887256	-0.34193994562530433	0.42333437254215767		
abecedario	0.008522727272727272	0.0	0.009331664612841743	0.0				0.008522727272727272	0.2002219034208661	-0.1647966461519427	0.20861990434772706			-0.3134278389482721	0.3886714550413204	-0.35074282881445745	0.42344112415605745		
abedul	0.002840909090909091	0.0	0.0030885588323016013	0.0				0.002840909090909091	0.14114573339792846	-0.16489015010069935	0.17591092815400702			-0.3418496836564797	0.39042436052353013	-0.3543005483861393	0.4235120179243688		
abeja	0.028409090909090908	0.009259259259259259	0.038286319341677075	0.010050304580678886				0.01914983164983165	0.21213652678829162	-0.16451351281259727	0.2270494230811869			-0.35606060590712807	0.3877698665110394	-0.3560606060388972	0.42337275143088954		
abejorro	0.002840909090909091	0.0	0.00313772991818899	0.0				0.002840909090909091	0.14114573339792846	-0.16488941365783633	0.17622541262691582			-0.3418496836564797	0.39042436052353013	-0.354272527567532	0.4235113363075176		
abelardo	0.002840909090909091	0.004629629629629629	0.003119108375647809	0.004979335607366071				-0.0017887205387205384	0.07979569970562704	-0.16496426882538603	0.14221656633192187			-0.3560606060299104	0.3923009293039957	-0.3560606060570363	0.4235873658860479		
aberración	0.03125	0.037037037037037035	0.035622512430819084	0.04024502693018385				-0.005787037037037035	0.0796551860559212	-0.1650056400236653	0.1452434858010988			-0.35606060601839956	0.3925670754487437	-0.35606060605556195	0.4235879559385916		
abertura	0.02556818181818182	0.037037037037037035	0.02810145086657235	0.040165400711780194				-0.011468855218855215	0.05575789807573062	-0.16511709153733697	0.13026779032551628			-0.3560606060260735	0.3936353198069473	-0.356060606056619	0.42363789327155904		
abierto	0.5426136363636364	0.6018518518518519	0.9929246427602357	1.2774575709873401				-0.05923821548821551	0.08440451876984165	-0.16919790103952567	0.1323916755065574			-0.3560606060155071	0.3961880417566624	-0.3560606060561767	0.42273350895850803		
abismo	0.23295454545454544	0.19444444444444445	0.40322298410777485	0.375265172655932				0.038510101010100994	0.12865317719285127	-0.16451767950604723	0.15921300798758498			-0.3560606060006765	0.38922536874921165	-0.3560606060544828	0.4234994603356788		
ablandar	0.014204545454545454	0.032407407407407406	0.015544394137821839	0.03692062978586188				-0.01820286195286195	0.01039829166984671	-0.16525656306402958	0.1023426023886912			-0.3560606060386806	0.3955304413816275	-0.3560606060582068	0.4237273203268869		
abnegación	0.11931818181818182	0.07407407407407407	0.1733704413570278	0.09546879944781396				0.04524410774410775	0.17025577106882245	-0.16376966312959032	0.19972436340621963			-0.3560606059800301	0.3877891249012645	-0.35606060605025736	0.42335510549895433		
abnegado	0.002840909090909091	0.032407407407407406	0.003098878309532169	0.03532021273071617				-0.029566498316498314	-0.09181919247083523	-0.16541899176467817	0.049238544315152316			-0.3560606060562209	0.39994991511972433	-0.35606060606010603	0.42389676854819175		
abnegar	0.005681818181818182	0.032407407407407406	0.0061777227897662716	0.03510000660363121				-0.026725589225589222	-0.0595906928078008	-0.16536958137988317	0.06735227316206031			-0.35606060605183587	0.398556484151662	-0.35606060605960305	0.4238378974189273		
abocar	0.028409090909090908	0.004629629629629629	0.03423378518073526	0.005069688456871618				0.02377946127946128	0.2564712701074686	-0.16449961278729766	0.24364684560161295			-0.3560606057536501	0.3865865136942069	-0.3560606060221252	0.42334607159694077		
abogadillo	0.005681818181818182	0.0	0.006202673458739225	0.0				0.005681818181818182	0.1733742330609629	-0.16484350953033444	0.19381150545555284			-0.3276387613023759	0.38946807791887256	-0.3525259273971002	0.423473220030716		
abogado	0.09090909090909091	0.046296296296296294	0.1445296692479649	0.07041292370668606				0.04461279461279462	0.19492931661999197	-0.1638263501005431	0.20812104921456925			-0.35606060596238015	0.38715142268688285	-0.356060606048909	0.4233440055938939		
abogar	0.045454545454545456	0.037037037037037035	0.05934076102318234	0.09148002918644466				0.00841750841750842	0.12737127877029117	-0.16541776264579966	0.12139826489649405			-0.35606060599921485	0.3904340950503027	-0.3560606060569095	0.4237002839402549		
abolición	0.002840909090909091	0.0	0.0031228149809664632	0.0				0.002840909090909091	0.14114573339792846	-0.164889637041129	0.17613014540932925			-0.3418496836564797	0.39042436052353013	-0.3542810270493496	0.4235115427906558		
abolir	0.008522727272727272	0.013888888888888888	0.012557498356193589	0.015067040253789443				-0.005366161616161616	0.05980026997713635	-0.1649739937103038	0.14449068533040885			-0.3560606060299104	0.3931219024831319	-0.35606060605585654	0.42358489877331895		
abombar	0.002840909090909091	0.0	0.0031277708468358807	0.0				0.002840909090909091	0.14114573339792846	-0.164889562816369	0.1761618123630275			-0.3418496836564797	0.39042436052353013	-0.3542782028811202	0.42351147415537765		
abominable	0.056818181818181816	0.027777777777777776	0.06845842718430811	0.030189825739709686				0.02904040404040404	0.1927787026674359	-0.1643632532296051	0.20944144991868574			-0.35606060595828737	0.387785336232477	-0.3560606060476838	0.42338671697894004		
abonado	0.022727272727272728	0.009259259259259259	0.03743306038140149	0.010027412120070023				0.01346801346801347	0.18632265048043728	-0.16452594933848094	0.22564996886993224			-0.3560606059378236	0.3886629128672232	-0.3560606060393326	0.42337637828103136		
abonar	0.022727272727272728	0.023148148148148147	0.028331087115492797	0.02754650640368845				-0.00042087542087541896	0.09876437212669954	-0.16492465713288626	0.15507206444201263			-0.3560606060114931	0.39170340507204743	-0.3560606060547451	0.42355566897478775		
abono	0.05113636363636364	0.018518518518518517	0.06224242999645052	0.025110877142060384				0.03261784511784512	0.2237870408393537	-0.16438028297999696	0.21384967662741552			-0.35606060592247585	0.3868973573878461	-0.35606060604648077	0.4233806077555264		
