wordlist	docprops1	docprops2	relfreqs1	relfreqs2	devprops1	devprops2	meanrelfreqs	sd0	sd2	sr0	sr2	sg0	sg2	dd0	dd2	dr0	dr2	dg0	dg2
abad	0.018166089965397925	0.0	0.6728107247977	0.0				0.018166089965397925	0.04129916999241599	-0.1561414399351009	0.15623721135216018			-0.1565739845518509	0.2476385922047882	-0.21210162664687146	0.009723069566217393		
abadía	0.0008650519031141869	0.0	0.012726085955953521	0.0				0.0008650519031141869	0.0013360551319784994	-0.15750505044830596	0.043540053572787334			-0.2625274125372809	0.2483078494706374	-0.2667710854772279	0.009846485560026066		
abajo	0.2664359861591695	0.17101449275362318	5.453675216965886	3.6554460517402063				0.09542149340554634	0.07531048800690561	-0.153816537450148	0.05943192380616272			-0.2678250839023815	0.2460951674247017	-0.26782508399655786	0.009897813835097602		
abalanzar	0.014705882352941176	0.007246376811594203	0.2152842477357197	0.10555627767882572				0.007459505541346973	0.01613638675640817	-0.15730466282954111	0.06156880939403875			-0.2678250838735101	0.24805108258689182	-0.26782508399610433	0.009814251932190926		
abanderado	0.0008650519031141869	0.0014492753623188406	0.012949954856396549	0.020987964484947115				-0.0005842234592046537	-0.002296231009292401	-0.1575479451581206	0.032502773592259684			-0.26782508396123955	0.24836883244431887	-0.26782508399728244	0.009858970181573716		
abanderar	0.0	0.0014492753623188406	0.0	0.021099751246518073				-0.0014492753623188406	-0.004470572888608225	-0.1575749282556553	0.025319807549800004			-0.2678250839977935	0.24840547485125203	-0.2678250839977935	0.009867551760360957		
abandonar	0.2301038062283737	0.3492753623188406	4.518918784086357	6.584447974386314				-0.1191715560904669	-0.07864742302366075	-0.1617983343350498	0.014888922360210992			-0.26782508395744764	0.25209421137475335	-0.26782508399722504	0.009825444633674747		
abandono	0.05968858131487889	0.06521739130434782	0.9323242962877123	1.018885314642377				-0.005528809989468933	-0.00943046454309764	-0.15771015890152068	0.031813512039519425			-0.2678250839417441	0.24852828129422955	-0.26782508399703564	0.009748352821267256		
abanicar	0.0008650519031141869	0.0014492753623188406	0.012364362582528486	0.02090489866244732				-0.0005842234592046537	-0.002296231009292401	-0.1575489832831002	0.03223867909240108			-0.26782508396123955	0.24836883244431887	-0.26782508399730365	0.009859283818914856		
abanico	0.03806228373702422	0.02753623188405797	0.7609365900085175	0.4827338333907633				0.010526051852966251	0.019181283604695936	-0.1569566256587815	0.05937557598274942			-0.26782508391314225	0.24796939950769772	-0.26782508399648797	0.009747477702649025		
abar	0.0008650519031141869	0.0	0.012567323228991525	0.0				0.0008650519031141869	0.0013360551319784994	-0.1575053784221912	0.04345754561786282			-0.2625274125372809	0.2483078494706374	-0.26678423450669275	0.009846575915465854		
abarcar	0.025951557093425604	0.014492753623188406	0.416226920316228	0.21012865251516763				0.011458803470237198	0.023240867907184132	-0.15710557994920743	0.0663577858631185			-0.2678250838881317	0.24791582988598473	-0.2678250839961529	0.009789916713154575		
abarrotar	0.0017301038062283738	0.0	0.025153940500453095	0.0				0.0017301038062283738	0.0034918285363032186	-0.15747937684204963	0.04966256308984661			-0.2572297411380094	0.24827174700416532	-0.2657417870473139	0.009839780727255302		
abarrote	0.0008650519031141869	0.0	0.012600416904380577	0.0				0.0008650519031141869	0.0013360551319784994	-0.15750531005689222	0.043474753781390214			-0.2625274125372809	0.2483078494706374	-0.2667814936258757	0.009846557070601926		
abastecer	0.0025951557093425604	0.0	0.03770440804583268	0.0				0.0025951557093425604	0.005629347924750809	-0.15745344994043206	0.055257100257788655			-0.2519320697387379	0.24823595023540473	-0.2647023335766532	0.009833654083264575		
abastecimiento	0.0017301038062283738	0.0014492753623188406	0.025110242576115282	0.021127884248180094				0.00028082844390953316	-0.00014045760496768172	-0.1575231133423904	0.03842103046875638			-0.2678250839246856	0.24833250295672152	-0.26782508399680915	0.009851903151358069		
abasto	0.0	0.005797101449275362	0.0	0.08378945390104423				-0.005797101449275362	-0.01506399564890097	-0.15770443337148318	0.0008975812552223517			-0.2678250839977935	0.2485884758734521	-0.2678250839977935	0.009907202714598171		
abate	0.0008650519031141869	0.002898550724637681	0.024760715753886286	0.04146006426751211				-0.002033498821523494	-0.005876993621147032	-0.157565837852583	0.02917329435794735			-0.2678250839795165	0.2484297057749291	-0.2678250839972989	0.009863647037237947		
abatimiento	0.01730103806228374	0.010144927536231883	0.26443604821885824	0.14647377244074283				0.007156110526051855	0.015051919320797962	-0.1572876523051482	0.05942271252059726			-0.2678250838933537	0.24806649523385949	-0.26782508399629823	0.0098129423053322		
abatir	0.028546712802768166	0.036231884057971016	0.4288946376506719	0.5443071861341154				-0.0076851712552028495	-0.015496466238125303	-0.15776976072754514	0.02497195483804507			-0.2678250839495423	0.248627816868024	-0.2678250839971409	0.009920450947207551		
abdicar	0.004325259515570935	0.0014492753623188406	0.06406357062494994	0.020836177759546447				0.002875984153252094	0.006218557007658301	-0.15744204049424732	0.054430433502401045			-0.2678250838150238	0.2482253396797105	-0.267825083995247	0.009832803499388247		
abdomen	0.0034602076124567475	0.002898550724637681	0.0506620011986484	0.04192057028554522				0.0005616568878190663	0.0005358710822367442	-0.15751328199497164	0.04002641974279036			-0.2678250839246856	0.2483209608917841	-0.26782508399679256	0.009849646285139659		
abdul	0.004325259515570935	0.0	0.10030057432505028	0.0				0.004325259515570935	0.009850843148929202	-0.15732413805313464	0.07719326098135187			-0.2413367269401949	0.2481652533850367	-0.2595180006381612	0.009809631533544683		
abecedario	0.0025951557093425604	0.0	0.037989323519792055	0.0				0.0025951557093425604	0.005629347924750809	-0.15745286135873693	0.0553781001511084			-0.2519320697387379	0.24823595023540473	-0.2646787363379701	0.009833521574846625		
abedul	0.0008650519031141869	0.0	0.0124366687964614	0.0				0.0008650519031141869	0.0013360551319784994	-0.15750564832963534	0.043389558025603694			-0.2625274125372809	0.2483078494706374	-0.26679505555402505	0.009846650369484311		
abeja	0.009515570934256055	0.002898550724637681	0.16115731306265885	0.04171371440261156				0.006617020209618374	0.014894547872836832	-0.1572845921711345	0.07231469060610374			-0.26782508379674685	0.24807747647383172	-0.2678250839945937	0.00980798130674112		
abejorro	0.0008650519031141869	0.0	0.012650385510742958	0.0				0.0008650519031141869	0.0013360551319784994	-0.15750520683116487	0.0435007270486994			-0.2625274125372809	0.2483078494706374	-0.266777355131344	0.009846528626968915		
abelardo	0.0008650519031141869	0.0014492753623188406	0.012667129899241627	0.020605868902646388				-0.0005842234592046537	-0.002296231009292401	-0.15754774008371022	0.03254117705998914			-0.26782508396123955	0.24836883244431887	-0.26782508399728433	0.009858917215095287		
